item,y1,y2,y3,y4
Tier,6,6,6,6
OFL (t),4769,4769,6080,6080
maxABC (t),3576,3576,4560,4560
ABC (t),3576,3576,4560,4560
blank,NA,NA,NA,NA
Status,2021,2022,2022,2023
Overfishing,NA,NA,NA,NA
