Year,OFL,ABC,TAC
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
2011,528,396,150
2012,4769,3576,900
2013,4769,3576,500
2014,4769,3576,225
2015,4769,3576,400
2016,4769,3576,400
2017,4769,3576,400
2018,4769,3576,250
2019,4769,3576,400
2020,4769,3576,275
2021,4769,3576,700
2022,4769,3576,700
2023,4769,3576,400
