year	pcod	flatfish	other	total	retained
1997	160	86	3	249	NA
1998	168	13	9	190	NA
1999	310	14	2	326	NA
2000	359	57	3	419	NA
2001	211	9	7	227	NA
2002	334	21	19	374	NA
2003	223.56400000000002	32.333	20.707000000000047	276.60400000000004	31.160069991757204
2004	278.4539999999987	43.81999999999998	246.305	568.5789999999987	54.57429838245885
2005	311.34300000000076	17.38	9.934	338.6570000000008	64.30193381503992
2006	330.8340000000001	5.1469999999999985	14.037999999999972	350.01900000000006	55.45641808016127
2007	155.99400000000014	6.629999999999999	8.559000000000053	171.1830000000002	41.348732058674024
2008	195.5130000000005	11.452000000000005	7.546999999999976	214.51200000000048	36.37978294920557
2009	57.57900000000011	9.754999999999999	5.691999999999997	73.0260000000001	22.198942842275333
2010	168.37757167089998	11.639677903199999	4.867167437400003	184.8844170115	28.88620401273629
2011	554.7539820076994	8.523806399399998	14.027955570499984	577.3057439775994	5.617591514620088
2012	126.00575725049995	3.5097490136000005	7.929106812500008	137.44461307659995	17.45269536713763
2013	214.32442350319982	1.5491066956000006	4.0346604355	219.9081906342998	21.59910372805892
2014	406.4307333252003	4.7898372718	17.993640343300005	429.21421094030035	20.377062451798704
2015	411.6222428957011	5.998544964599998	23.741371567999987	441.3621594283011	17.985616779658596
2016	553.9515174017995	4.952435397	33.690021409099984	592.5939742078995	15.935098885998954
2017	263.7187833664999	4.30637397	13.498371628599992	281.5235289650999	30.829931073633187
2018	262.0578353454999	4.493456219499999	23.336495349400018	289.8877869143999	59.45734743792277
2019	238.20021393000002	13.477699772799996	16.691337575400006	268.3692512782	47.551213552409756
2020	672.4190951638004	2.9010164947999995	15.799194518999986	691.1193061776005	20.996233948095007
2021	154.38332248539996	7.579230000000001	8.030503491800005	169.99305597719996	12.718323883770752
2022	222.38262324379969	8.05212	20.599604013	251.03434725679966	29.0720101357059
2023	80.50193024800001	4.8556929447	34.52252983679999	119.8801530295	49.15134569214334
