"year","biomass_AI","biomass_EBS_shelf","biomass_EBS_slope","cv_AI","cv_EBS_shelf","cv_EBS_slope"
1991,1159,NA,NA,20,NA,NA
1994,1727,NA,NA,19,NA,NA
1997,1219,NA,NA,25,NA,NA
2000,788,NA,NA,30,NA,NA
2002,1393,NA,NA,28,NA,NA
2004,4095,NA,NA,34,NA,NA
2006,3062,NA,NA,17,NA,NA
2010,3075,NA,NA,30,NA,NA
2012,2779,NA,NA,42,NA,NA
2014,2845,NA,NA,20,NA,NA
2016,3833,NA,NA,24,NA,NA
2018,2274,NA,NA,39,NA,NA
2022,1505,NA,NA,23,NA,NA
1987,NA,7829,NA,NA,52,NA
1988,NA,9865,NA,NA,29,NA
1989,NA,4895,NA,NA,33,NA
1990,NA,11589,NA,NA,48,NA
1991,NA,8070,NA,NA,34,NA
1992,NA,5607,NA,NA,42,NA
1993,NA,1582,NA,NA,34,NA
1994,NA,2480,NA,NA,39,NA
1995,NA,2934,NA,NA,59,NA
1996,NA,1809,NA,NA,68,NA
1997,NA,254,NA,NA,40,NA
1998,NA,1285,NA,NA,51,NA
1999,NA,834,NA,NA,52,NA
2000,NA,2028,NA,NA,41,NA
2001,NA,5885,NA,NA,32,NA
2002,NA,2502,NA,NA,44,NA
2003,NA,8254,NA,NA,46,NA
2004,NA,4954,NA,NA,31,NA
2005,NA,10215,NA,NA,28,NA
2006,NA,1904,NA,NA,34,NA
2007,NA,2276,NA,NA,29,NA
2008,NA,1170,NA,NA,42,NA
2009,NA,1013,NA,NA,53,NA
2010,NA,811,NA,NA,48,NA
2011,NA,3541,NA,NA,30,NA
2012,NA,2566,NA,NA,32,NA
2013,NA,1813,NA,NA,49,NA
2014,NA,2334,NA,NA,49,NA
2015,NA,5338,NA,NA,30,NA
2016,NA,7442,NA,NA,44,NA
2017,NA,4017,NA,NA,24,NA
2018,NA,5251,NA,NA,26,NA
2019,NA,5916,NA,NA,24,NA
2021,NA,5054,NA,NA,31,NA
2022,NA,4941,NA,NA,26,NA
2023,NA,2557,NA,NA,32,NA
2002,NA,NA,971,NA,NA,18
2004,NA,NA,1980,NA,NA,14
2008,NA,NA,781,NA,NA,17
2010,NA,NA,621,NA,NA,15
2012,NA,NA,1419,NA,NA,21
2016,NA,NA,2263,NA,NA,13
